	kor	eng
1160	"네 직업이나 취미를 알려주고 다른 사람의 직업과 취미를 물어봐도 되지만	 대화가 지나치게 사적으로 흐르지 않도록 조심해."	"It is acceptable to mention your job and interests and to ask the other person about his	 but be careful not to let the conversation become too personal."
1161	"그가 아니라	 그녀가 나에게 키스를 했다."	"She kissed me	 not him."
1162	류샤는 모든 것을 포기하고 시베리아에 가기로 했다.	Lyusya decided to give up on everything and leave for Siberia.
1163	그녀는 관리자를 비난했다는 소식을 듣게 되었다.	She was heard to criticize the manager.
1164	우리의 의무는 도와주는 것이다.	It is our obligation to help.
1165	바로 그게 내가 하고 싶은 말이었다.	You took the words right out of my mouth.
1166	그게 내가 하고 싶은 말이었다.	You took the words right out of my mouth.
1167	내 말이 바로 그 말이다.	You took the words right out of my mouth.
1168	진짜로 걱정 안 하지?	"You're not really worried	 are you?"
1169	난 공수도 1단이다.	I'm a black belt in karate.
1170	뒤뜰의 낙엽을 긁어 모아라.	Rake the leaves in the backyard.
1171	잘 해낼 수 있니?	Can you handle it?
1172	언제든지 우리 집에 와.	Come to my house whenever you like.
1173	시간이 충분했더라면 그가 일을 잘했을 텐데.	"If he had enough time	 he might have done good work."
1174	그 일은 일년 전 쯤 일어났다.	That happened over a year ago.
1175	우린 톰이 학교를 중퇴하려 한다는 말을 들었다.	We were told Tom wanted to drop out of school.
1176	이 차가 엄청 멋있어 보인다.	This car looks pretty cool.
1177	이 히터는 가스를 사용한다.	This heater burns gas.
1178	"넌 끈질긴 사람이야	 맞지?"	"You're persistent	 aren't you?"
1179	그 타이어 공장은 250명을 고용한다.	The tire factory employs 250 people.
1180	톰은 전기 기사다.	Tom is an electrical engineer.
1181	톰은 지금 모임에 참석 중이다.	Tom is in a meeting right now.
1182	톰은 가난한 사람을 도와주는 것에 그의 인생을 바쳤다.	Tom dedicated his life to helping the poor.
1183	이 나비종은 이미 멸종됐다.	This species of butterfly has already gone extinct.
1184	그녀는 그 소식을 침착하게 받아들였다.	She took the news calmly.
1185	난 조심성이 있는 사람이다.	I'm a careful man.
1186	부치실 짐이 있으세요?	Do you have any bags to check?
1187	나는 너에게 내가 하려고 했던 일을 말했다.	I told you what I was going to do.
1188	일은 잘 되니?	How's work?
1189	일은 어때?	How's work?
1190	네가 본 사람에 대해 더 말해줄래?	Can you tell me more about the person you saw?
1191	너의 동의 없이는 난 아무도 고용하지 않을 것이다.	I won't hire anyone without your approval.
1192	당신이 승인하지 않으면 난 아무도 고용하지 않을 것이다.	I won't hire anyone without your approval.
1193	나는 기부를 하고 싶다.	I want to donate money.
1194	난 네가 최고라고 생각한다.	I think you're the greatest.
1195	나는 네가 착하고 성실할 수 있도록 북돋워준다.	I encourage you to be good and diligent.
1196	그가 괜찮아지기까지 오래 걸리지 않았다.	It was not long before he got well.
1197	또 다른 좋은 날 같다.	Looks like another nice day.
1198	이게 승선권이야?	Is this the embarkation card?
1199	그 말의 이름이 뭐야?	What's the horse's name?
1200	톰은 대부분의 흡혈귀처럼 관에서 자지 않는다.	Tom doesn't sleep in a coffin like most vampires.
1201	톰은 대부분의 흡혈귀와는 달리 관에서 자지 않는다.	Tom doesn't sleep in a coffin like most vampires.
1202	난 비벤디 파일을 더 이상 못 찾겠다.	I can no longer find the Vivendi file.
1203	그녀는 평범하게 생긴 여자다.	She's a plain looking girl.
1204	그도 중국어를 공부하고 있다.	He is also studying Chinese.
1205	그는 우리를 반년 동안 지도해왔다.	He has coached us for half a year.
1206	그는 불법행위를 저질렀다.	He committed an illegal act.
1207	난 불어를 할 줄 아는 사람이 필요하다.	I want a person who can speak French.
1208	톰은 여기서 일을 잘 해왔다.	Tom has done well here.
1209	톰은 이해하려고 노력하고 있다.	Tom is trying to figure things out.
1210	톰은 해결하려고 노력하고 있다.	Tom is trying to figure things out.
1211	난 뭔가 마시고 싶다.	I'd like something to drink.
1212	물과 무기염은 무기물이다.	Water and mineral salts are inorganic substances.
1213	테드가 어느 대학을 갈거라고 생각하세요?	Which university do you think Ted will go to?
1214	아마 내일 일찍 일어날 거예요.	I will probably get up early tomorrow.
1215	친구는 도서관에 공부하러 돌아와요.	Friends come back to the library to study.
1216	톰은 그만두고 싶어 한다.	Tom wants to quit.
1217	톰은 시력을 잃어버렸다.	Tom lost his eyesight.
1218	우리는 직원이 문으로 들어오는 걸 봤다.	We saw the waiter coming through the door.
1219	톰은 존이 말한 것을 메리한테 말했다.	Tom told Mary what John had told him.
1220	우리 아버지는 집에 계신다.	My father is home.
1221	만약에 우리가 급행열차를 놓치면 다음 기차를 탈 것이다.	"If we should miss the express	 we'll take the next train."
1222	난 네가 보스턴에서 한 일을 알고 있다.	I know what you did in Boston.
1223	군인들은 아무 희망 없이 마을에 돌아갔다.	The soldiers went back to the town without any hope.
1224	그 밭은 들꽃이 가득하다.	The field is full of wild flowers.
1225	난 정말 부끄러웠다.	I was feverish with embarrassment.
1226	난 너의 제안에 전적으로 동의한다.	I'm all for your suggestion.
1227	난 톰한테 그걸 쓰지 말라고 말했다.	I told Tom not to use those.
1228	난 톰한테 그걸 쓰지 말라고 했는데.	I told Tom not to use those.
1229	난 유럽에 가지 않기로 했다.	I decided not to go to Europe.
1230	"난 아기를 안 낳고 싶어	 절대로."	"I don't want to have a baby	 ever."
1231	저곳은 항상 사람들로 붐빈다.	That place is always packed.
1232	이 탑 위에 회전하는 식당이 있다.	There is a rotating restaurant at the top of this tower.
1233	이 타워의 맨 위에 회전하는 식당이 있다.	There is a rotating restaurant at the top of this tower.
1234	이 타워의 꼭대기에 회전하는 식당이 있다.	There is a rotating restaurant at the top of this tower.
1235	날 그만 괴롭혀!	Stop bugging me!
1236	동물원은 동물들을 위한 감옥 같다.	Zoos are like prisons for animals.
1237	동물원은 동물에게 감옥 같다.	Zoos are like prisons for animals.
1238	톰은 손을 뻗어서 지팡이를 잡았다.	Tom reached for his cane.
1239	톰이 불어를 공부한대.	I heard that Tom is studying French.
1240	그녀가 화나서 방에서 나갔다.	She went out of the room in anger.
1241	선생님은 숙제를 살펴봤다.	The teacher looked over the papers.
1242	톰은 자기 아이들에게 벌을 줬다.	Tom punished his children.
1243	그가 때때로 우릴 위해 저녁을 차려 준다.	He sometimes makes dinner for us.
1244	그들은 나한테 아직도 아무것도 갚지 않았는데.	They haven't paid me anything yet.
1245	그녀는 원하는 걸 얻는 데 익숙해 있다.	She's used to getting what she wants.
1246	그들은 웃기다.	They are funny.
1247	난 널 용서한다.	I forgive you.
1248	톰은 자주 밤새 논다.	Tom often stays out all night.
1249	수신자부담전화 1-800-446-2581을 이용해주세요.	Call us toll-free at 1-800-446-2581.
1250	메세지를 전해 드릴까요?	Can I take a message?
1251	난 일어 교사다.	I'm a Japanese language teacher.
1252	톰은 많이 안 잔다.	Tom doesn't sleep much.
1253	새로운 언어를 어떻게 배우기 시작하나?	How do you start to learn a new language?
1254	우리는 네가 그 노래를 불렀으면 좋겠다.	We want you to sing the song.
1255	난 퇴근 후 톰을 만났다.	I met Tom after work.
1256	내가 절박해 보이냐?	Do I look desperate to you?
1257	"예를 들어서	 이게 펜이다."	"For example	 this is a pen."
1258	우리는 내일 아침에 집을 떠날 것이다.	We'll leave the house tomorrow morning.
1259	톰은 그 야구 팀의 모든 선수의 이름을 알고 있었다.	Tom knew the names of every baseball player on that team.
1260	너의 일에 간섭하는 게 내 일이 아니다.	It is not my part to meddle in your affairs.
1261	불쌍한 고아인 과부와 그녀의 어린 애들 2명은 온갖 역경에 맞서 용감하게 싸웠다.	The poor widow with her two young children - herself an orphan - struggled bravely for a while against the fearful tide of adversity.
1262	이게 무슨 뜻이에요?	What does this mean?
1263	이것을 뭐라고 불러요?	What do you call this?
1264	그 대통령은 경찰의 석궁 사용을 승인했다.	The president approved the use of crossbows by the police.
1265	대통령은 경찰이 석궁을 사용하는 것을 승인했다.	The president approved the use of crossbows by the police.
1266	못 믿어.	I don't buy it.
1267	바다에는 섬들이 있다.	There are islands in the sea.
1268	부르즈 칼리파는 현재 세계에서 가장 큰 고층건물이다.	Burj Khalifa is currently the tallest skyscraper in the world.
1269	바다에는 섬이 있다.	There are islands in the sea.
1270	산타는 북극에 산다.	Santa lives at the North Pole.
1271	내가 할 수 있길 바라.	I hope that I can do it.
1272	빨리 스페인어가 늘었으면 좋겠네.	I hope my Spanish improves quickly.
1273	A와 B의 차이가 뭐예요?	What is the difference between A and B?
1274	"오늘 집에 있겠습니까	 학교에 가겠습니까?"	Will you stay at home or go to school today?
1275	제 이름은 안드레아 입니다.	My name is Andrea.
1276	저는 안드레아 입니다.	My name is Andrea.
1277	조용한 고양이가 쥐를 잡는다.	The quiet cat caught the mouse.
1278	늦어서 죄송합니다.	Sorry for being late.
1279	일요일은 일주일의 마지막 날이다.	Sunday is the last day of the week.
1280	"연필을 입에 넣지 마세요	 실수로 입천장을 찌를 수 있습니다."	Don’t put a pencil in your mouth. You might accidentally stab your palate.
1281	그녀는 임신 8개월이다.	She is 8 months pregnant.
1282	꽃에 물을 줘야겠다. 잎들이 벌써 시들었다.	The flower needs watering. The leaves are already wilted.
1283	다음 주말에 영화관에서 디버전트란 액션 영화를 자막 없이 볼거다.	"Next weekend	 I'm going to see the action movie 'Divergent' without subtitles at the cinema."
1284	기분이 하루종일 좋았다.	I felt great all day.
1285	오랜만에 늦게까지 잤는데.	"For the first time in ages	 I slept late."
1286	어제는 좋은 날이었다.	Yesterday was a good day.
1287	밴드는 아주 잘 연주해요.	The band plays really well.
1288	오늘 좋은 영화를 상영해요.	There's a good movie screening today.
1289	당신은 내일 출발하는 것을 원해요?	Do you want to leave tomorrow?
1290	극장 가는 걸 좋아해요?	Do you like going to the theater?
1291	저는 춤을 잘 못 춰요.	I'm not good at dancing.
1292	악기를 연주해요?	Do you play an instrument?
1293	제가 양상추를 씻을까요?	Should I wash the lettuce?
1294	우리 헤어졌어.	We broke up.
1295	네 탓은 아니야.	It's not your fault.
1296	신발끈을 묶으세요.	Tie your shoelaces.
1297	직접 만드신 거예요?	Did you make it yourself?
1298	그 슈퍼마켓은 가끔 세일 해.	That supermarket sometimes has sales.
